labor_category_code,labor_category_description,zipcode,city,state,labor_item,labor_item_description,unit_permit_fee,omni_item_id,provider,vbu_number,created_by,created_timestamp,updated_by,updated_timestamp,old_price,county,municipality,est_permit_obtain_days
6,APPL - DISHWASHERS,01001,AGAWAM,MA,161646,Permit and Processing Fee - Dish,30,5014818737,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,4
4,APPL - NATURAL GAS,01001,AGAWAM,MA,133415,Permit and Processing Fee - NG,30,5014818591,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,2
62,APPL - LP GAS,01001,AGAWAM,MA,133425,Permit and Processing Fee - LP,30,5014818715,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,2
3,APPL - ELEC COOKING (INLC TRASH COMP),01001,AGAWAM,MA,227808,Permit and Processing Fee - Ecook,30,5014818701,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,2
398,APPL - PREMIUM,01001,AGAWAM,MA,806280,Permit Fee - Dishwasher,30,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPDEN,DUMMY_VALUE,4
398,APPL - PREMIUM,01001,AGAWAM,MA,7513735,Permit Fee - Gas,30,5016941247,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPDEN,DUMMY_VALUE,2
398,APPL - PREMIUM,01001,AGAWAM,MA,7513734,Permit Fee- Elec Walloven and CT,30,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPDEN,DUMMY_VALUE,2
6,APPL - DISHWASHERS,01002,AMHERST,MA,161646,Permit and Processing Fee - Dish,75,5014818737,CRST HOME SOLUTIONS,86557,,,,,,HAMPSHIRE,DUMMY_VALUE,4
4,APPL - NATURAL GAS,01002,AMHERST,MA,133415,Permit and Processing Fee - NG,45,5014818591,CRST HOME SOLUTIONS,86557,,,,,,HAMPSHIRE,DUMMY_VALUE,3
62,APPL - LP GAS,01002,AMHERST,MA,133425,Permit and Processing Fee - LP,45,5014818715,CRST HOME SOLUTIONS,86557,,,,,,HAMPSHIRE,DUMMY_VALUE,3
3,APPL - ELEC COOKING (INLC TRASH COMP),01002,AMHERST,MA,227808,Permit and Processing Fee - Ecook,75,5014818701,CRST HOME SOLUTIONS,86557,,,,,,HAMPSHIRE,DUMMY_VALUE,7
398,APPL - PREMIUM,01002,AMHERST,MA,806280,Permit Fee - Dishwasher,75,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPSHIRE,DUMMY_VALUE,4
398,APPL - PREMIUM,01002,AMHERST,MA,7513735,Permit Fee - Gas,45,5016941247,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPSHIRE,DUMMY_VALUE,3
398,APPL - PREMIUM,01002,AMHERST,MA,7513734,Permit Fee- Elec Walloven and CT,75,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPSHIRE,DUMMY_VALUE,7
6,APPL - DISHWASHERS,01005,BARRE,MA,161646,Permit and Processing Fee - Dish,105,5014818737,CRST HOME SOLUTIONS,86557,,,,,,WORCESTER,DUMMY_VALUE,4
4,APPL - NATURAL GAS,01005,BARRE,MA,133415,Permit and Processing Fee - NG,105,5014818591,CRST HOME SOLUTIONS,86557,,,,,,WORCESTER,DUMMY_VALUE,5
62,APPL - LP GAS,01005,BARRE,MA,133425,Permit and Processing Fee - LP,105,5014818715,CRST HOME SOLUTIONS,86557,,,,,,WORCESTER,DUMMY_VALUE,5
3,APPL - ELEC COOKING (INLC TRASH COMP),01005,BARRE,MA,227808,Permit and Processing Fee - Ecook,52.5,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WORCESTER,DUMMY_VALUE,6
398,APPL - PREMIUM,01005,BARRE,MA,806280,Permit Fee - Dishwasher,105,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WORCESTER,DUMMY_VALUE,4
398,APPL - PREMIUM,01005,BARRE,MA,7513735,Permit Fee - Gas,105,5016941247,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WORCESTER,DUMMY_VALUE,5
398,APPL - PREMIUM,01005,BARRE,MA,7513734,Permit Fee- Elec Walloven and CT,52.5,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WORCESTER,DUMMY_VALUE,6
6,APPL - DISHWASHERS,01010,BRIMFIELD,MA,161646,Permit and Processing Fee - Dish,50,5014818737,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,4
4,APPL - NATURAL GAS,01010,BRIMFIELD,MA,133415,Permit and Processing Fee - NG,50,5014818591,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,2
62,APPL - LP GAS,01010,BRIMFIELD,MA,133425,Permit and Processing Fee - LP,50,5014818715,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,2
3,APPL - ELEC COOKING (INLC TRASH COMP),01010,BRIMFIELD,MA,227808,Permit and Processing Fee - Ecook,21,5014818701,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,2
398,APPL - PREMIUM,01010,BRIMFIELD,MA,806280,Permit Fee - Dishwasher,50,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPDEN,DUMMY_VALUE,4
398,APPL - PREMIUM,01010,BRIMFIELD,MA,7513735,Permit Fee - Gas,50,5016941247,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPDEN,DUMMY_VALUE,2
398,APPL - PREMIUM,01010,BRIMFIELD,MA,7513734,Permit Fee- Elec Walloven and CT,21,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPDEN,DUMMY_VALUE,2
4,APPL - NATURAL GAS,01012,CHESTERFIELD,MA,133415,Permit and Processing Fee - NG,35,5014818591,CRST HOME SOLUTIONS,86557,,,,,,HAMPSHIRE,DUMMY_VALUE,3
62,APPL - LP GAS,01012,CHESTERFIELD,MA,133425,Permit and Processing Fee - LP,35,5014818715,CRST HOME SOLUTIONS,86557,,,,,,HAMPSHIRE,DUMMY_VALUE,3
398,APPL - PREMIUM,01012,CHESTERFIELD,MA,7513735,Permit Fee - Gas,35,5016941247,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,HAMPSHIRE,DUMMY_VALUE,3
6,APPL - DISHWASHERS,01013,CHICOPEE,MA,161646,Permit and Processing Fee - Dish,45,5014818737,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,4
4,APPL - NATURAL GAS,01013,CHICOPEE,MA,133415,Permit and Processing Fee - NG,45,5014818591,CRST HOME SOLUTIONS,86557,,,,,,HAMPDEN,DUMMY_VALUE,2
